cell_id,latitude,longitude
36,22.45,92.95
42,22.55,92.85
57,22.75,92.85
85,23.05,91.75
123,23.25,92.65
143,23.35,92.85
145,23.35,93.05
160,23.45,92.55
163,23.45,92.85
186,23.55,92.95
230,23.75,92.55
231,23.75,92.65
232,23.75,92.75
245,23.85,91.75
279,23.95,92.65
297,24.05,91.45
338,24.15,92.65
365,24.25,92.65
379,24.25,94.05
395,24.35,93.15
407,24.35,94.35
418,24.45,93.15
427,24.45,94.05
458,24.65,92.35
474,24.65,93.95
493,24.75,93.45
494,24.75,93.55
498,24.75,93.95
507,24.85,92.35
515,24.85,93.15
518,24.85,93.45
519,24.85,93.55
523,24.85,93.95
528,24.85,94.45
537,24.95,92.85
543,24.95,93.45
544,24.95,93.55
547,24.95,93.85
558,25.05,92.35
559,25.05,92.45
563,25.05,92.85
569,25.05,93.45
574,25.05,93.95
593,25.15,92.05
594,25.15,92.15
596,25.15,92.35
601,25.15,92.85
603,25.15,93.05
604,25.15,93.15
609,25.15,93.65
611,25.15,93.85
612,25.15,93.95
638,25.25,92.35
643,25.25,92.85
646,25.25,93.15
675,25.35,91.85
679,25.35,92.25
688,25.35,93.15
711,25.45,91.25
730,25.45,93.15
738,25.45,93.95
741,25.55,90.05
743,25.55,90.25
753,25.55,91.25
759,25.55,91.85
761,25.55,92.05
770,25.55,92.95
772,25.55,93.15
774,25.55,93.35
778,25.55,93.75
779,25.55,93.85
780,25.55,93.95
822,25.65,93.95
824,25.75,89.95
828,25.75,90.35
845,25.75,92.05
863,25.75,93.85
864,25.75,93.95
873,25.85,90.55
880,25.85,91.25
907,25.85,93.95
929,25.95,91.85
980,26.05,92.45
996,26.05,94.05
1000,26.05,94.45
1001,26.05,94.55
1003,26.05,94.75
1004,26.05,94.85
1028,26.15,91.65
1029,26.15,91.75
1030,26.15,91.85
1036,26.15,92.45
1054,26.15,94.25
1055,26.15,94.35
1057,26.15,94.55
1060,26.15,94.85
1113,26.25,94.55
1114,26.25,94.65
1116,26.25,94.85
1117,26.25,94.95
1135,26.35,91.25
1165,26.35,94.25
1168,26.35,94.55
1172,26.35,94.95
1225,26.45,94.85
1226,26.45,94.95
1261,26.55,93.05
1388,26.75,94.65
1392,26.75,95.05
1443,26.85,94.95
1489,26.95,95.45
1493,27.05,88.35
1494,27.05,88.45
1500,27.05,92.55
1501,27.05,92.65
1511,27.05,93.65
1512,27.05,93.75
1538,27.15,88.35
1540,27.15,88.55
1541,27.15,88.65
1559,27.15,93.65
1560,27.15,93.75
1563,27.15,94.05
1581,27.15,95.85
1590,27.25,88.25
1607,27.25,92.95
1618,27.25,94.05
1619,27.25,94.15
1650,27.35,88.25
1653,27.35,88.55
1654,27.35,88.65
1655,27.35,88.75
1660,27.35,92.25
1723,27.45,92.15
1724,27.45,92.25
1725,27.45,92.35
1732,27.45,93.05
1784,27.55,91.85
1919,27.75,92.85
1984,27.85,93.05
1987,27.85,93.35
1996,27.85,94.25
2006,27.85,95.25
2015,27.85,96.15
2071,27.95,96.15
2128,28.05,96.55
2164,28.15,95.15
2260,28.35,95.45
2305,28.45,95.85
2364,28.65,94.95
2432,28.85,96.15
2446,28.95,94.85
2451,28.95,95.35
